firm_id,firm_name,razon_social,hs4,ncm,product_name_declared,exporter_profile,source_url
367,AGROMEC SA,AGROMEC S A,8716,8716.20.00,CARGADORA DE GRANOS AB (C.M.R. 3000),Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=367
1715,AGROMETAL SAI,AGROMETAL SOC ANON IND,8432,8432.30.10,SEMBRADORAS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1715
5036,AGROPECUARIA VILLA DOLORES SA,AGROPECUARIA VILLA DOLORES S A,0701,0701.10.00,PAPAS PARA SIEMBRA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5036
5303,AGROSERVICIOS MEDITERRÁNEA,AGROSERVICIOS MEDITERRANEA S.A.S.,1104,1104.23.00,MAÍZ PARTIDO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5303
5303,AGROSERVICIOS MEDITERRÁNEA,AGROSERVICIOS MEDITERRANEA S.A.S.,1201,1201.90.00,SOJA DESACTIVADA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5303
5303,AGROSERVICIOS MEDITERRÁNEA,AGROSERVICIOS MEDITERRANEA S.A.S.,2304,2304.00.10,EXPELLER DE SOJA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5303
1872,AIMAR FRENOS,AIMAR S.R.L,8708,8708.30.90,PINZA DE FRENO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1872
1718,AIMURAI S.A.,AIMURAI SA,1509,1509.10.00,ACEITE DE OLIVA EXTRA VIRGEN,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1718
1718,AIMURAI S.A.,AIMURAI SA,2005,2005.70.00,ACEITUNAS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1718
1214,AISLATER,AISLATER S R L,6806,6806.20.00,VERMICULITA AGRO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1214
2707,AKRON,AKRON S.A.,8422,8422.30.21,EMBOLSADORA DE GRANOS SECOS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2707
2707,AKRON,AKRON S.A.,8428,8428.39.90,EXTRACTORA DE GRANOS SECOS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2707
2707,AKRON,AKRON S.A.,8432,8432.42.00,ESPARCIDOR DE ENMIENDAS ORGÁNICAS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2707
