firm_id,firm_name,razon_social,hs4,ncm,product_name_declared,exporter_profile,source_url
257,CAUPLAS,CAUPLAS S.R.L.,4009,4009.31.00,TUBOS DE CAUCHO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=257
2068,CAVERZASI ORTIN SEMILLAS,CAVERZASI ORTIN Y CIA S R L,1007,1007.10.00,SORGO HÍBRIDO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2068
2068,CAVERZASI ORTIN SEMILLAS,CAVERZASI ORTIN Y CIA S R L,1209,1209.25.00,RYE GRASS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2068
3317,CAVOUR DESARROLLOS,CAVOUR DESARROLLOS S.R.L,2106,2106.90.90,SABORES PARA ALIMENTOS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3317
320,CEC,CEC ELECTRONICA SRL,9018,9018.90.21,CG1 ELECTROCOAGULADOR,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=320
3584,CELIDARINA,AGROALIMENTOS PRAGA S.R.L.,1102,1102.90.00,HARINAS LIBRES DE GLUTEN,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3584
3584,CELIDARINA,AGROALIMENTOS PRAGA S.R.L.,1901,1901.20.00,PREMEZCLAS LIBRES DE GLUTEN,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3584
871,CEM ALARMAS,CEM SRL,8517,8517.62.62,COMUNICADOR CELULAR DE EVENTOS G100,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=871
871,CEM ALARMAS,CEM SRL,8531,8531.10.90,"PANEL DE ALARMA SURI 500, 5 ZONAS, TECLADO",Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=871
2235,CF AGRO EXPORT,CF AGRO EXPORT SRL,0713,0713.10.90,ARVEJA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2235
4172,CHENNA,BULACIO MARIA SOFIA,4202,4202.11.00,ACCESORIOS DE MODA HECHOS CON 100% CUERO VACUNO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4172
5126,CHOCOLATES BARILOCHE - GRUPO PALMESANO,PRODUCTOS BARILOCHE S. A.,1704,1704.90.20,PASTILLAS MENTITAS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5126
5126,CHOCOLATES BARILOCHE - GRUPO PALMESANO,PRODUCTOS BARILOCHE S. A.,1806,1806.31.10,TABLETAS DE CHOCOLATE RELLENOS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5126
4810,CICER SAS,CICER S.A.S.,0713,0713.20.90,GARBANZO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4810
3688,CINZIA VEHÍCULOS,DYFSA S.A.,9406,9406.00.99,MODULO HABITABLE,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3688
1561,CIS GROUP,CIS GROUP LATINOAMERICA SOCIEDAD ANONIMA,8543,8543.70.00,PRODUCTOS DE RF,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1561
1561,CIS GROUP,CIS GROUP LATINOAMERICA SOCIEDAD ANONIMA,8544,8544.20.00,"CABLEADOS ELÉCTRICOS, COAXIALES",Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1561
2878,CLC - CONSORCIO DE LEGUMBRES DE CÓRDOBA,AGROSERVICIOS S.B. S.R.L.,1005,1005.90.10,MAÍZ PISINGALLO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2878
649,COFINA AGRO CEREALES - GREEN TRADE SA,COFINA AGRO CEREALES S A,1202,1202.42.00,MANÍ BLANCHEADO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=649
649,COFINA AGRO CEREALES - GREEN TRADE SA,COFINA AGRO CEREALES S A,2008,2008.11.00,MANÍ TOSTADO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=649
1723,COMOFRA,INDUSTRIAS COMOFRA SOC RESP LTDA,8716,8716.20.00,ACOPLADO TOLVA AUTODESCARGABLE,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1723
1840,CONAM SRL,CONAM S R L,4822,4822.90.00,"TUBOS ESPIRALADOS DE CARTÓN DE ALTA RESISTENCIA Y ESQUINEROS DE CARTÓN, PROTECTORES DE SISTEMAS DE EMBALAJE",Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1840
