hs4,product_name_short,sector,raw_rca_cba,rca_transformed_cba,pci,cog_cba,density_cba,cordoba_value_usd,raw_rca_arg_ex_cba,rca_transformed_arg_ex_cba,arg_ex_cba_value_usd,density_pct_cba,accessible_market_size,accessible_market_growth_5y,accessible_market_size_share,dai_index,dai_percentile,dai_lead,distance_travelled,eff_num_exp,market_growth_5y,total_trade,market_size_share,rank_cordoba,exports_cordoba_avg_usd,rank_arg_ex_cba,exports_arg_ex_cba_avg_usd,rca_transformed_cba_pct,density_pct_cba_pct,eff_num_exp_pct,dai_pct_norm,distance_travelled_pct,pci_pct,cog_pct,accessible_market_size_share_pct,accessible_market_growth_5y_pct,accessible_market_size_b,cordoba_dpe_avg_usd
0101,Horses,Agriculture,0.0138739619174771,0.0136841091088266,0.9365908227329416,0.5038802496476661,0.0679345324021286,26333.333334236177,1.962052378752291,0.6623962468816196,24649216.466665763,0.21379310344827587,20520831.0,0.1704744095437327,1.4396197521921415e-05,0.5544080171553266,10.0,-66.66666666666667,3487.7430791343827,8.742436816948011,0.0095037815534184,4059210559.0,0.000187837040388,94.0,26333.333334236177,15.0,24649216.466665763,0.8001611603545528,0.8533440773569702,0.4270749395648671,0.1,0.14746172441579372,0.4536663980660757,0.6067687348912167,0.3029814665592264,0.8831587429492345,0.020520831,26333.333334236177
0102,Bovine,Agriculture,0.005328255109575,0.0053000152760993,-1.759562067567627,0.0633433587341092,0.0825757177540401,25361.0000008695,0.0079228086266193,0.0078605311426724,249601.79999913048,0.1793103448275862,2410793.0,-0.0042986701551943,1.6912693356553397e-06,0.7385398157420425,12.903225806451612,-61.29032258064515,3185.4166205729575,13.387020942771434,0.0423431464095611,11274147712.0,0.0005217030524383,100.0,25361.0000008695,86.0,249601.79999913048,0.7598710717163578,0.21958098307816276,0.14182111200644643,0.12903225806451613,0.11120064464141821,0.11281224818694602,0.17969379532634971,0.11845286059629331,0.14665592264302982,0.002410793,25361.0000008695
0103,Swine,Agriculture,0.0,0.0,2.7499352738362437,0.6368572439262581,0.0632761070171648,0.0,0.0041614123157209,0.0041441667292554,55814.6,0.21379310344827587,164128.0,0.1847775658425543,1.1514246703156995e-07,0.4430418582277367,6.451612903225806,-41.935483870967744,929.48535126946,5.699110386969889,0.0275608183996489,4902724123.0,0.0002268700220691,,0.0,51.0,55814.6,0.26510878323932313,0.8533440773569702,0.6712328767123288,0.06451612903225806,0.020145044319097503,0.8396454472199839,0.7961321514907332,0.045124899274778404,0.8992747784045125,0.000164128,0.0
0104,Sheep,Agriculture,0.0025695551197033,0.0025629694284867,-2.898355827576647,-0.0714470110501821,0.0789702225571941,2406.0000000824903,0.0053153316595513,0.0052872282876427,32942.399999917514,0.1793103448275862,121882.0,-0.0666839975837046,8.550517990069829e-08,1.3420932777979475,64.51612903225806,-12.903225806451616,2129.7976616827946,5.903817863392615,0.049642125527108,2044996517.0,9.463073860644138e-05,103.0,2406.0000000824903,80.0,32942.399999917514,0.7163577759871071,0.21958098307816276,0.6543110394842868,0.6451612903225806,0.0410958904109589,0.052377115229653506,0.0427074939564867,0.0394842868654311,0.0717163577759871,0.000121882,2406.0000000824903
0105,Fowl,Agriculture,0.0,0.0,-0.0429913926174511,0.2318033669752561,0.0751236826425411,0.0,0.1453189001141044,0.1268807317329931,1637274.4,0.18620689655172415,26123495.0,0.038387186340552,1.8326694176416467e-05,1.0472345910202134,29.03225806451613,-22.580645161290317,1791.9838514347532,11.936993829473,0.0496463341193835,3883969355.0,0.0001797278800883,,0.0,57.0,1637274.4,0.26510878323932313,0.4000805801772764,0.21031426269137787,0.2903225806451613,0.029008863819500404,0.2892828364222401,0.31909750201450443,0.3408541498791297,0.2884770346494762,0.026123495,0.0
0106,Other live animals,Agriculture,0.0,0.0,-2.2189117097506426,-0.0546169914673763,0.0780440512784204,0.0,0.2561078478041814,0.2038900148995064,1234524.2,0.1793103448275862,2122258.0,0.0297961546557565,1.488850298532155e-06,0.6167629335481775,3.225806451612903,-67.74193548387098,4239.912722296348,17.886143412089382,0.0655512282639221,1670672044.0,7.73091436482154e-05,,0.0,70.0,1234524.2,0.26510878323932313,0.21958098307816276,0.037872683319903344,0.03225806451612903,0.2868654311039484,0.08138597904915391,0.052377115229653506,0.11120064464141821,0.2586623690572119,0.002122258,0.0
0201,Beef,Agriculture,1.9404186756053583,0.6599123763237135,-0.2294445211133811,0.1020611198398949,0.0849084019445862,25603899.34087784,9.775951453551158,0.9072007697593648,853801443.4591221,0.21379310344827587,6169678422.0,0.1532411403353391,0.0043282803318173,1.7855001757301343,100.0,46.666666666666664,3923.723301530341,15.516897711757313,0.0738601768101738,31920813180.0,0.0014771126028972,42.0,25603899.34087784,12.0,853801443.4591221,0.9621273166800967,0.8533440773569702,0.07816277195809829,1.0,0.22320709105560033,0.2570507655116841,0.21112006446414183,0.9766317485898469,0.854955680902498,6.169678422,25603899.34087784
0202,Beef (frozen),Agriculture,2.0335966508875307,0.6703582858626137,-0.8536844948168805,0.0598280169163478,0.088008526554163,31079147.961065553,21.147709807924993,0.9548486047238088,2139216854.0389345,0.2206896551724138,21033010558.0,0.0788056672160122,0.0147555123120319,0.9843359766556302,56.666666666666664,-30.000000000000007,11134.143518508934,7.135741089408405,0.0626446598555365,34941390826.0,0.0016168876544843,35.0,31079147.961065553,6.0,2139216854.0389345,0.9637389202256245,0.9713940370668815,0.5503626107977437,0.5666666666666667,0.9983883964544722,0.19419822723609992,0.1780821917808219,0.9959709911361805,0.5358581788879936,21.033010558,31079147.961065553
0203,Pork,Agriculture,0.0157566886649231,0.0155122667079192,2.738954395583717,0.6590109836785908,0.0677146035957333,268733.2766758802,0.1979796384146451,0.1652612716161377,22349314.32332412,0.21379310344827587,1110462635.0,0.1256471772855341,0.0007790347006012,0.8750767546162774,19.35483870967742,-48.38709677419354,5854.33638103792,9.623679027623847,-0.0089897304390581,36032538561.0,0.0016673797287902,69.0,268733.2766758802,33.0,22349314.32332412,0.8098307816277196,0.8533440773569702,0.3577759871071716,0.1935483870967742,0.6889605157131345,0.8364222401289283,0.8331990330378727,0.8920225624496374,0.774375503626108,1.110462635,268733.2766758802
0204,Lamb,Agriculture,0.0097985582883324,0.0097034781916717,-2.047582184789265,0.0846901503672986,0.0772945984838099,39500.24666802094,0.7884728072033879,0.4408637380605819,21038342.953331977,0.20689655172413793,1873563013.0,0.0815216699368905,0.0013143806508086,0.648952826484111,6.666666666666667,-59.99999999999999,9070.491862317158,4.003515098557859,0.0372395113902981,8740612025.0,0.000404465516162,91.0,39500.24666802094,24.0,21038342.953331977,0.782433521353747,0.6760676873489122,0.8186946011281224,0.06666666666666667,0.9822723609991942,0.09024979854955681,0.1982272360999194,0.9339242546333602,0.556809024979855,1.873563013,39500.24666802094
