CCOD_RUBRO,DESCRIP_RUBRO,2023,2024,2025,2023_2025_avg
302G,"Jabones, productos orgánicos tensoactivos, ceras, ceras para odontología, etc.",1861139.71,1119470.23,1448139.08," 1,476,250 "
204,Otros productos de origen animal,1085093.05,738625,2411356.6," 1,411,692 "
307H,Prendas de vestir y accesorios de tejidos,106617.09,197358.54,3010738.29," 1,104,905 "
309A,Manufacturas de piedra y amianto,654217.41,1268282.4,930150.62," 950,883 "
312AZ,"Resto de máquinas,aparatos y artículos mecánicos",1309827.75,843315.04,677731.48," 943,625 "
312AE,"Máquinas y aparatos para limpiar botellas, llenar y cerrar cápsulas y sus partes",2215282.52,267513.62,151297.54," 878,031 "
312AD,"Aparatos y dispositivos para calentado y cocción de material, y sus partes",2311640,27152.61,55134.35," 797,976 "
199,Resto de productos primarios,320017.3,891191.67,611104.52," 607,438 "
104A,Cebollas,407533.65,619311.55,303159.95," 443,335 "
399Z,Resto de MOI,452456.15,506563.02,306266.45," 421,762 "
206D,Especias,352971,199505.5,569989.9," 374,155 "
213Z,Otros extractos curtientes y tintóreos excluido extracto de quebracho y resto de materias albuminoideas entre otros del cap.35,,510219.7,588777.1," 366,332 "
110,Fibras de algodón,223542.13,385484.39,424181.62," 344,403 "
399F,"Juguetes, juegos, artículos de recreo y deportes y sus partes",316319.84,190287.51,454582.52," 320,397 "
311AE,"Tubos y caños de fundición,hierro o acero",247844.63,236758.67,399906.22," 294,837 "
311C,Aluminio,333592.19,152192.84,382332.06," 289,372 "
106ZE,Mijo,301036.26,191401.72,270810.54," 254,416 "
311G,Manufacturas diversas de metales comunes,111552.79,174410.88,408598.52," 231,521 "
107C,Lino,120210.88,69865.98,289207.28," 159,761 "
312AH,"Máquinas para el trabajo de los metales, carburos metálicos y sus partes",,6659.22,459861.51," 155,507 "
210B,"Puré, pastas de frutas, etc",219533.58,131522.44,59110.34," 136,722 "
208AH,Aceite de maíz,,," 331,675.75 "," 110,559 "
302E,"Extractos curtientes y tintóreos, pinturas y tintas",113734.44,110973.31," 98,132.16 "," 107,613 "
302D,Abonos y fertilizantes distintos de los primarios,204552.48,76767.6," 39,484.50 "," 106,935 "
309C,Vidrio y sus manufacturas,230495,55731.27," 28,448.41 "," 104,892 "
312AG,"Máquinas y aparatos n.c.o.p. para la preparación o fabricación de alimentos, bebidas y sus partes",44783,," 125,220.28 "," 56,668 "
306B,"Productos editoriales de la prensa o de otras industrias gráficas, textos manuscritos o mecanografiados y planos",98670.56,19806.04," 17,485.13 "," 45,321 "
106ZD,Alpiste,120612.13,5386.62,," 42,000 "
201AC,Carne porcina,,115703.3,," 38,568 "
302F,"Aceites esenciales y reisnoides (perfume, cosmética, tocador)",24617.85,17143.99,25276.14," 22,346 "
399D,"Armas, municiones y sus partes",,,64465.46," 21,488 "
305,"Manufacturas de cuero, marroquinería, etc.",39113.3,13665.25,7202.26," 19,994 "
311AF,"Estructuras, hangares, etc.de hiero o acero",28918.83,24678.39,," 17,866 "
307I,Otros artículos de tejidos confeccionados,16469.31,5405.98,13216.54," 11,697 "
307F,"Guatas y filtros, cordelería, tejidos especiales",,,34103.42," 11,368 "
101,Animales Vivos,32021,,," 10,674 "
311B,Cobre,23174.61,1621.31,665.3," 8,487 "
106ZA,Avena,2494.92,4884.51,10916.35," 6,099 "
309B,Productos cerámicos,1354,10439.17,," 3,931 "
105E,Frutas de carozo,2708,5169.29,3714.66," 3,864 "
307E,"Alfombras, tapices, terciopelo, felpas, etc.",,6180.91,," 2,060 "
