hs4,hs_revision,supports_top50_line,top50_line_name,attribution_type,in_opex_named,n_firms,evidencing_firms_sample,evidence_sources
1904,HS92,29899,Manufacturas de origen agropecuario (confidencial),confidential,no,5,GEORGALOS; CROPPERS - GRUPO MANIAGRO; CROCCANTO; FERMAR; SNACKS DANAL,targeted+registry-full
1905,HS92,207CB,Pastas alimenticias y productos de panadería,clean,yes,46,DULCOR; CERRO AZUL; BOMPANING; CARTOTECNICA HORES; CAVOUR DESARROLLOS,targeted+registry-full
2005,HS92,210Z,"Resto preparados de legumbres, hortalizas y frutas",resto,yes,22,ACEITUNAS ALVAREZ; DULCOR; AIMURAI S.A.; ARTE & SABORES DELICATESSEN / CALEUFU GOURMET; GARLIC AJO NEGRO,targeted+registry-full
2007,HS92,210Z,"Resto preparados de legumbres, hortalizas y frutas",resto,yes,14,ESNAOLA - GRUPO DULCOR; DULCOR; DULCES ORIETA - GRUPO DULCOR; GRUPO ARCOR; PASTELINO,targeted+registry-full
2008,HS92,210Z,"Resto preparados de legumbres, hortalizas y frutas",resto,yes,33,INCHIK; DULCOR; GEORGALOS; ARGENUT FOOD SAS; BRO FOOD SUPPLIER,targeted+registry-full
2106,HS92,29899,Manufacturas de origen agropecuario (confidencial),confidential,no,1,VERTRAUEN,targeted
2202,HS92,211Z,Resto bebidas (excl. vino),resto,yes,9,Pritty; LA POSTA DEL ÁGUILA; AGUA MINERAL ELLA; CENTRAL DISTRIBUCIONES; CUNAGUA,targeted+registry-full
2203,HS92,211Z,Resto bebidas (excl. vino),resto,yes,9,Cervecería Quilmes — Planta Córdoba; METALURGICA VZ; PEÑÓN DEL ÁGUILA; ATON BEER; BUENAS MALTAS / TRAUMER BIER,targeted+registry-full
2204,HS92,211Z,Resto bebidas (excl. vino),resto,yes,3,LA CAROYENSE SA; OLIVARES VERDICCHIO; DRUSA DISEÑO,registry-full
2208,HS92,211Z,Resto bebidas (excl. vino),resto,yes,9,PORTA HNOS S.A.; PEÑÓN DEL ÁGUILA; ALQUIMISTA; ÁNGELES Y DEMONIOS GIN; AUSTRAL DESTILERÍA,registry-full
