firm_id,firm_name,razon_social,exporter_profile,source_layer,hs4_or_ebops,ciiu_rev3_primary,ciiu_primary_desc,ciiu_rev3_all,in_oede_cordoba
1971,OBLITA,ALIMENTARIA MONTE CRISTO S R L,Exportadora Habitual,declared-ncm,1806,1543,Elaboración de cacao y chocolate y de productos de confitería,1543,yes
1971,OBLITA,ALIMENTARIA MONTE CRISTO S R L,Exportadora Habitual,declared-ncm,1905,1541,Elaboración de productos de panadería,"1541,1549",yes
4328,OLIVER SOCKS,LERMAN SEBASTIAN PABLO,Exportadora Habitual,declared-ncm,6115,1730,Fabricación de tejidos de punto y artículos de punto y ganchillo,1730,yes
221,OMAR MARTIN,OMAR MARTIN S.A,Exportadora Habitual,declared-ncm,8430,2924,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción,2924,yes
221,OMAR MARTIN,OMAR MARTIN S.A,Exportadora Habitual,declared-ncm,8431,2915,Fabricación de equipo de elevación y manipulación,"2915,2924,3599",yes
523,ONCATIVO S.A.,ESTABLECIMIENTOS METALURGICOS ONCATIVO S A,Exportadora Habitual,declared-ncm,8432,2921,Fabricación de maquinaria agropecuaria,2921,yes
2238,ONEMAR S.A.,ONEMAR S A,Exportadora Habitual,declared-ncm,6802,2696,"Corte, tallado y acabado de la piedra",2696,yes
247,OSCAR DULCE,OSCAR DULCE SRL,Exportadora Habitual,declared-ncm,0504,1511,Producción y procesamiento de carne y productos cárnicos,1511,yes
3546,OSCAR MASSA MUEBLES,MASSA OSCAR,Exportadora Habitual,declared-ncm,9401,3610,Fabricación de muebles y colchones,"2927,3190,3430,3530,3599,3610",yes
3546,OSCAR MASSA MUEBLES,MASSA OSCAR,Exportadora Habitual,declared-ncm,9403,3610,Fabricación de muebles y colchones,"3599,3610",yes
2244,PALMESANO - GRUPO PALMESANO,GOLOSINAS O.E.N.P. S.A.,Exportadora Habitual,declared-ncm,1704,1543,Elaboración de cacao y chocolate y de productos de confitería,1543,yes
2244,PALMESANO - GRUPO PALMESANO,GOLOSINAS O.E.N.P. S.A.,Exportadora Habitual,declared-ncm,1806,1543,Elaboración de cacao y chocolate y de productos de confitería,1543,yes
2244,PALMESANO - GRUPO PALMESANO,GOLOSINAS O.E.N.P. S.A.,Exportadora Habitual,declared-ncm,2008,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549",yes
4259,PAMPA COMPAÑÍA DE CARNES - DUO SILVESTRE ESCABECHES,HERNANDEZ SERGIO RUBEN,Exportadora Habitual,declared-ncm,0204,1511,Producción y procesamiento de carne y productos cárnicos,1511,yes
4259,PAMPA COMPAÑÍA DE CARNES - DUO SILVESTRE ESCABECHES,HERNANDEZ SERGIO RUBEN,Exportadora Habitual,declared-ncm,0208,1511,Producción y procesamiento de carne y productos cárnicos,1511,yes
4259,PAMPA COMPAÑÍA DE CARNES - DUO SILVESTRE ESCABECHES,HERNANDEZ SERGIO RUBEN,Exportadora Habitual,declared-ncm,1602,1511,Producción y procesamiento de carne y productos cárnicos,"1511,1549,2429",yes
4259,PAMPA COMPAÑÍA DE CARNES - DUO SILVESTRE ESCABECHES,HERNANDEZ SERGIO RUBEN,Exportadora Habitual,declared-ncm,2001,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549",yes
4259,PAMPA COMPAÑÍA DE CARNES - DUO SILVESTRE ESCABECHES,HERNANDEZ SERGIO RUBEN,Exportadora Habitual,declared-ncm,2005,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549,2429",yes
4476,PANGEA,GUTIERREZ RAMAZZINI MARCELLO,Exportadora Habitual,declared-ncm,4202,1912,"Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y  artículos de cuero n.c.p.","1912,1920,3699",yes
3919,PANHEL,PANHEL SRL,Exportadora Habitual,declared-ncm,8417,2914,Fabricación de hornos; hogares y quemadores,"2914,2925,2930",yes
3919,PANHEL,PANHEL SRL,Exportadora Habitual,declared-ncm,8438,2925,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",2925,yes
3919,PANHEL,PANHEL SRL,Exportadora Habitual,declared-ncm,8514,2914,Fabricación de hornos; hogares y quemadores,"2914,2930",yes
4271,PAOLUCCI RACING PERFORMANCE,PAOLUCCI JORGE EMILIO,Exportadora Habitual,declared-ncm,8708,3430,Fabricación de partes; piezas y accesorios para vehículos automotores y sus motores,"3190,3430,3610",yes
1318,PAREDES CEREALES S.A.,PAREDES CEREALES SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1001,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
1318,PAREDES CEREALES S.A.,PAREDES CEREALES SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1002,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
1318,PAREDES CEREALES S.A.,PAREDES CEREALES SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1003,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
1318,PAREDES CEREALES S.A.,PAREDES CEREALES SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1004,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
1318,PAREDES CEREALES S.A.,PAREDES CEREALES SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1005,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
1318,PAREDES CEREALES S.A.,PAREDES CEREALES SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1007,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
1318,PAREDES CEREALES S.A.,PAREDES CEREALES SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1008,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
1318,PAREDES CEREALES S.A.,PAREDES CEREALES SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1201,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
1318,PAREDES CEREALES S.A.,PAREDES CEREALES SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1204,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
1318,PAREDES CEREALES S.A.,PAREDES CEREALES SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,1206,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
1318,PAREDES CEREALES S.A.,PAREDES CEREALES SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,2309,1533,Elaboración de alimentos preparados para animales,1533,yes
3107,PARMENTIER SRL,PARMENTIER S.R.L.,Exportadora Habitual,declared-ncm,0701,0111,"Cultivo de cereales, oleaginosas y forrajeras","0111,0112",yes
3224,PASAFRE,FREZZI SA,Exportadora Habitual,declared-ncm,0806,0112,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales","0112,0113,0200,1513,1549",yes
2522,PASTELINO,PASTELINO S.A.,Exportadora Habitual,declared-ncm,1905,1541,Elaboración de productos de panadería,"1541,1549",yes
415,PAUNY,PAUNY S.A.,Exportadora Habitual,declared-ncm,8430,2924,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción,2924,yes
415,PAUNY,PAUNY S.A.,Exportadora Habitual,declared-ncm,8701,3410,Fabricación de vehículos automotores,"2921,2924,3410",yes
4366,PEANUT WORLD,FIORITO SANTIAGO,Exportadora Habitual,declared-ncm,1202,0111,"Cultivo de cereales, oleaginosas y forrajeras","0111,1513,1549",yes
4366,PEANUT WORLD,FIORITO SANTIAGO,Exportadora Habitual,declared-ncm,2008,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549",yes
701,PELLACANI S.R.L.,PELLACANI SRL,Exportadora Habitual,declared-ncm,7318,2899,Fabricación de productos elaborados de metal  n.c.p.,"2899,3190,3699",yes
701,PELLACANI S.R.L.,PELLACANI SRL,Exportadora Habitual,declared-ncm,8414,2912,Fabricación de bombas; compresores; grifos y válvulas,"2912,2919,2922,2930,3312",yes
701,PELLACANI S.R.L.,PELLACANI SRL,Exportadora Habitual,declared-ncm,8462,2922,Fabricación de máquinas herramienta,"2922,3190",yes
701,PELLACANI S.R.L.,PELLACANI SRL,Exportadora Habitual,declared-ncm,8483,2913,Fabricación de cojinetes; engranajes; trenes de engranaje y piezas de transmisión,2913,yes
701,PELLACANI S.R.L.,PELLACANI SRL,Exportadora Habitual,declared-ncm,8484,2919,Fabricación de  maquinaria de uso general n.c.p.,"2919,2922,2930,3312",yes
2163,PEMAN SEMILLAS,OSCAR PEMAN Y ASOCIADOS S.A.,Exportadora Habitual,declared-ncm,0713,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
2163,PEMAN SEMILLAS,OSCAR PEMAN Y ASOCIADOS S.A.,Exportadora Habitual,declared-ncm,1007,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
2163,PEMAN SEMILLAS,OSCAR PEMAN Y ASOCIADOS S.A.,Exportadora Habitual,declared-ncm,1209,0111,"Cultivo de cereales, oleaginosas y forrajeras","0111,0112,0113,0200",yes
5075,PERNOS PESCARA,TALLERES METALURG PESCARA SRL,Exportadora Habitual,declared-ncm,8409,2927,Fabricación de armas y municiones,"2927,3190,3430,3530,3610",yes
5075,PERNOS PESCARA,TALLERES METALURG PESCARA SRL,Exportadora Habitual,declared-ncm,8414,2912,Fabricación de bombas; compresores; grifos y válvulas,"2912,2919,2922,2930,3312",yes
2166,PERTRAK,PERTRAK SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,8409,2927,Fabricación de armas y municiones,"2927,3190,3430,3530,3610",yes
2166,PERTRAK,PERTRAK SOCIEDAD ANONIMA,Exportadora Habitual,declared-ncm,8708,3430,Fabricación de partes; piezas y accesorios para vehículos automotores y sus motores,"3190,3430,3610",yes
2213,PESSOT SRL,PESSOT S R L,Exportadora Habitual,declared-ncm,8425,2915,Fabricación de equipo de elevación y manipulación,"2915,3599",yes
2213,PESSOT SRL,PESSOT S R L,Exportadora Habitual,declared-ncm,9031,3312,,"3190,3220,3312,3313",no
2672,PETROQUÍMICA RIO TERCERO SA,PETROQUIMICA RIO TERCERO S A,Exportadora Habitual,declared-ncm,2806,2411,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno","1551,2330,2411,2429",yes
2672,PETROQUÍMICA RIO TERCERO SA,PETROQUIMICA RIO TERCERO S A,Exportadora Habitual,declared-ncm,2815,2411,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno","1551,2330,2411,2429",yes
2672,PETROQUÍMICA RIO TERCERO SA,PETROQUIMICA RIO TERCERO S A,Exportadora Habitual,declared-ncm,2827,2411,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno","1551,2330,2411,2412,2429",yes
2672,PETROQUÍMICA RIO TERCERO SA,PETROQUIMICA RIO TERCERO S A,Exportadora Habitual,declared-ncm,2828,2411,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno","1551,2330,2411,2429",yes
2672,PETROQUÍMICA RIO TERCERO SA,PETROQUIMICA RIO TERCERO S A,Exportadora Habitual,declared-ncm,2921,2411,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno","1551,2330,2411,2429",yes
2672,PETROQUÍMICA RIO TERCERO SA,PETROQUIMICA RIO TERCERO S A,Exportadora Habitual,declared-ncm,2929,2411,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno","1551,2330,2411,2429",yes
1730,PIEROBON SA,PIEROBON S.A.,Exportadora Habitual,declared-ncm,8432,2921,Fabricación de maquinaria agropecuaria,2921,yes
1369,PIERSANTI - METAL NOET,INDUSTRIAS PIERSANTI S.A.,Exportadora Habitual,declared-ncm,8433,2921,Fabricación de maquinaria agropecuaria,2921,yes
1369,PIERSANTI - METAL NOET,INDUSTRIAS PIERSANTI S.A.,Exportadora Habitual,declared-ncm,8716,3420,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques,"2921,3420,3599",yes
