hs4,hs_revision,supports_top50_line,top50_line_name,primary_ccod_rubro,primary_rubro_name,attribution_type,in_opex_named,n_firms,evidencing_firms_sample,evidence_sources,usd_promedio_anual,usd_acumulado_2023_2025,share_2023_2025,descripcion_top_ncm,n_ncm,max_rubro_opex_2023_2025_avg_usd
4822,HS92,306A,"Papel,cartón y sus manufacturas",306A,"Papel,cartón y sus manufacturas",aggregate-broad-chapter,yes,1,CONAM SRL,registry-declared,119747.65667077224,359242.9700123167,1.2194360389016614e-05,"Carretes,bobinas,canillas y soportes similares de papel o cartón,ncop.",1,119747.65667077224
2520,HS92,399Z,Resto de MOI,399Z,Resto de MOI,aggregate-resto,yes,1,RECUPERAR SRL,registry-declared,111623.33333716034,334870.000011481,1.1367029571852144e-05,Yeso natural excluido en trozos irregulares,1,111623.33333716034
1106,HS92,207Z,"Resto de los productos de molinería y preparaciones a base de cereales,harina,almidón,fécula o leche,pastelería",207Z,"Resto de los productos de molinería y preparaciones a base de cereales,harina,almidón,fécula o leche,pastelería",aggregate-resto,yes,8,ACEITES DEL DESIERTO; LA TROJA; MOLINOS FÉNIX ALIMENTOS - MOLINOS FÉNIX NUTRICIÓN - GRUPO ALIMENTICIO SA; NATURAL FOOD; PRAGA ALIMENTOS,registry-declared,110405.85667045196,331217.57001135586,1.1243049281533158e-05,Harina y sémola de legumbres secas desvainadas,1,110405.85667045196
2836,HS92,302A,Productos químicos inorgánicos,302A,Productos químicos inorgánicos,aggregate-broad-chapter,yes,4,VERDOL; EL CERRITO SAS; GRIGIONI MINERALES; YUSPE - GRUPO DULCOR,registry-declared,105853.65333696254,317560.96001088765,1.0779481061862084e-05,Hidrogenocarbonato(bicarbonato)de sodio,2,105853.65333696254
2501,HS92,399Z,Resto de MOI,399Z,Resto de MOI,aggregate-resto,yes,3,LA INDUSTRIAL SALINERA S.A.; AZAFRÁN RUEDO; GRANDIET,targeted+registry-declared,104073.5300035682,312220.59001070453,1.0598204316514244e-05,Sal de mesa,2,104073.5300035682
3904,HS92,303,Materias plásticas y sus manufacturas,303,Materias plásticas y sus manufacturas,aggregate-broad-chapter,yes,0,,,101648.35000348504,304945.0500104551,1.0351238991668205e-05,"Policloruros de vinilo ncop.,s/plastificar",1,101648.35000348504
9603,HS92,399Z,Resto de MOI,399Z,Resto de MOI,aggregate-resto,yes,2,FERRETERA GENERAL PAZ SRL; LA OVEJA,registry-declared,101319.81000347376,303959.43001042126,1.0317782510984329e-05,Artículos de cepillería ncop.,3,101319.81000347376
9406,HS92,399E,"Muebles, equipo médico-quirúrgico, construcciones prefabricadas",399E,"Muebles, equipo médico-quirúrgico, construcciones prefabricadas",clean,yes,7,BUNGALOFT®; CINZIA VEHÍCULOS; AG GROUP; ASTORI ESTRUCTURAS S.A.; INCOMPANY,registry-declared,99735.7633367528,299207.2900102584,1.015647300010076e-05,Construcciones prefabricadas con estructura de hierro o acero y paredes exteriores constituidas esencialmente por estas materias,2,99735.7633367528
4202,HS92,305,"Manufacturas de cuero, marroquinería, etc.",305,"Manufacturas de cuero, marroquinería, etc.",clean,yes,9,ATILIOF; BIANCHI CUEROS ARGENTINOS; CHENNA; INFOREST SRL; NATALIA SIRIUS,registry-declared,99485.91333674424,298457.74001023266,1.0131029822104576e-05,"Artículos de plástico o materias textiles excluidos baúles,bolsos de mano,artículos de bolsillo o similares",9,99485.91333674424
8507,HS92,312B,Máquinas y aparatos eléctricos y objetos destinado al uso electrónico y sus partes,312B,Máquinas y aparatos eléctricos y objetos destinado al uso electrónico y sus partes,aggregate-broad-chapter,yes,3,SERVELEC SRL; BATERIAS AMSA; ITHURBIDE,registry-declared,96996.1966699922,290988.5900099766,9.877492482460536e-06, Acumuladores eléctricos de ión de litio,7,96996.1966699922
7308,HS92,311AF,"Estructuras, hangares, etc. de hierro o acero",311AF,"Estructuras, hangares, etc. de hierro o acero",clean,yes,3,IMBAL SA; METALURGICA RE SRL; PROMETVA,registry-declared,95213.75333659774,285641.2600097933,9.695979482668222e-06,"Torres y castilletes,de fundición,hierro o acero",4,95213.75333659774
